,ac_type
Douglas DC-3,333
de Havilland Canada DHC-6 Twin Otter 300,81
Douglas C-47A,70
Douglas C-47,64
Douglas DC-4,41
Yakovlev YAK-40,35
Antonov AN-26,35
Junkers JU-52/3m,30
Douglas C-47B,27
Douglas DC-6B,27
De Havilland DH-4,27
Breguet 14,22
Douglas DC-6,20
Antonov AN-24,19
Curtiss C-46,19
Curtiss C-46A,19
Antonov AN-12,18
Douglas C-47-DL,18
McDonnell Douglas DC-9-32,18
Fokker F-27 Friendship 600,17
Junkers F-13,17
Embraer 110P1 Bandeirante,16
Fokker F-27 Friendship 200,16
Tupolev TU-134A,16
Douglas DC-3C,16
Lockheed C-130H,15
Lockheed C-130H Hercules,15
Ilyushin IL-18B,15
Lockheed 18 Lodestar,15
de Havilland Canada DHC-6 Twin Otter 100,15
CASA 212 Aviocar 200,13
Boeing 40,13
Ilyushin IL-12,13
Ilyushin IL-14P,13
Antonov AN-24B,12
Douglas DC-2,12
Douglas DC-3A,12
Ilyushin IL-18,12
de Havilland Canada DHC-6 Twin Otter 200,12
Curtiss C-46D,12
Fokker F-27 Friendship 100,12
Let 410UVP,12
Convair CV-580,12
Douglas DC-6A,11
Curtiss C-46F,11
Mil Mi-8 (helicopter),11
Fokker F-28 Fellowship 1000,11
Ilyushin IL-18D,10
Fokker F-27 Friendship 400M,10
Douglas C-54A,10
Tupolev TU-104B,10
Ilyushin IL-14,10
Junkers JU-52,10
Boeing KC-135A,9
McDonnell Douglas MD-82,9
Antonov AN-32,9
Curtiss C-46F-1-CU,9
Embraer 110C Bandeirante,9
Consolidated PBY-5A Catalina,9
Douglas C-47A-DL,9
Antonov An-26,9
Lisunov Li-2,9
Antonov AN-24V,9
Antonov AN-24RV,9
Martin 202,8
Fokker F-27 Friendship 500,8
Antonov AN-2,8
Lockheed 10 Electra,8
de Havilland Canada DHC-3 Otter,8
Tupolev TU-104A,8
Convair CV-240-0,8
Tupolev TU-154B,8
Fairchild F-27,8
Lisunov LI-2,8
Douglas DC-4-1009,8
Lockheed L-100-30 Hercules,7
Martin 404,7
Vickers Viscount 745D,7
Fokker 100,7
Tupolev TU-124,7
Boeing B-707-321B,7
Douglas DC-2-112,7
Douglas C-54,7
Convair CV-440,7
Lockheed Vega,7
Bell 212,7
Fairchild C-123K,7
Antonov AN-12BP,7
Let 410UVP-E,7
McDonnell Douglas DC-9-31,7
McDonnell Douglas DC-10-30,7
Antonov 12BP,7
Britten-Norman BN-2A Islander,7
Boeing 247,6
Mil Mi-8,6
Britten Norman BN-2A Trislander,6
Antonov AN-28,6
Douglas DC-7C,6
Avro 685 York C-1,6
Boeing 247D,6
Ilyushin IL-18V,6
McDonnell Douglas DC-10-10,6
de Havilland DHC-6 Twin Otter 300,6
Antonov An-12,6
Ilyushin IL-62M,6
Swearingen SA.227AC Metro III,6
Douglas M-4,6
Douglas C-47D,6
Lockheed 14 Super Electra,6
Lockheed 049 Constellation,6
de Havilland Canada DHC-6 Twin Otter,6
Lockheed 749A Constellation,6
Consolidated LB-30A Liberator,6
Lockheed C-130E Hercules,6
McDonnell Douglas DC-9-14,6
Junkers Ju-52/3m,6
Lockheed C-130A Hercules,6
Douglas C-47B-DK,5
Learjet 35A,5
Boeing B-707-321C,5
Convair CV-340,5
Junkers W-34,5
Douglas DC-6BF,5
Douglas C-54D-DC (DC-4),5
Avro 685 York I,5
Lockheed L-188AF Electra,5
Douglas C-54B,5
Convair CV-240,5
Antonov An-24B,5
Bristol 170 Freighter 21,5
Short S-23 (flying boat),5
Lockheed 14 Electra,5
Lockheed C-130B Hercules,5
Lockheed 18 LodeStar,5
Britten-Norman BN-2A-6 Islander,5
Lockheed 18 Loadstar,5
Bell 206B,5
Li-2,5
Antonov 12,5
Boeing B-737-2A8,5
Douglas C-53,5
Douglas C-47 Skytrain (DC-3),5
Shorts SC-7 Skyvan 3-100,5
Antonov AN-12V,5
Douglas DC-3 (C-47-DL),5
Tupolev TU-154M,5
Cessna 208B Grand Caravan,5
Nord 2501 Noratlas,5
Douglas DC-7B,5
Lockheed 1049H Super Constellation,5
Fairchild FC-2,5
Lockheed 188A Electra,5
Boeing B-737-200,5
Latecoere 28,5
Fokker F-VII,5
McDonnell Douglas MD-11,5
Lockheed C-130 Hercules,5
Mil Mi-17 (helicopter),4
Embraer 120RT Brasilia,4
Lockheed L-188A Electra,4
Lockheed Hudson,4
Pitcairn PA-6 Mailwing,4
McDonnell Douglas DC-8-63F,4
Boeing B-747,4
Tupolev Tu-154M,4
Lockheed 10E Electra,4
