,OperadOR
Aeroflot,253
Military - U.S. Air Force,141
Air France,74
Deutsche Lufthansa,63
United Air Lines,44
China National Aviation Corporation,43
Military - U.S. Army Air Forces,43
Pan American World Airways,41
American Airlines,37
US Aerial Mail Service,35
KLM Royal Dutch Airlines,34
Indian Airlines,34
Philippine Air Lines,33
Military - Royal Air Force,32
Private,31
Military - U.S. Navy,30
British Overseas Airways,29
Military - U.S. Army,27
Northwest Orient Airlines,25
Eastern Air Lines,25
Sabena,24
Aeropostale,24
AVIANCA,24
Imperial Airways,23
Military -Royal Air Force,22
VASP,20
British European Airways,19
Trans Continental and Western Air,18
Garuda Indonesia Airlines,18
Merpati Nusantara Airlines,18
Varig,17
Trans World Airlines,17
Mexicana,16
Pakistan International Airlines,16
Military - Russian Air Force,15
Ceskoslovenske Aerolinie,15
Military - Afghan Republican Air Force,15
Military - German Navy,15
Ethiopian Airlines,15
Military - Indian Air Force,15
Cruzeiro,14
Cubana de Aviacion,14
China Airlines (Taiwan),14
Linea Aeropostal Venezolana,14
Aerolineas Argentinas,13
Qantas,13
Turkish Airlines (THY),13
Panair do Brasil,12
LOT Polish Airlines,12
Military - U.S. Marine Corps,12
Iberia Airlines,12
Delta Air Lines,12
Burma Airways,11
Military - Soviet Air Force,11
Military - Royal Australian Air Force,11
Air Union,11
Swissair,11
Canadian Pacific Air Lines,11
Tarom,11
Air Vietnam (South Vietnam),11
Flying Tiger Line,11
United Arab Airlines,10
Balkan Bulgarian Airlines,10
Braniff Airlines,10
Korean Airlines,10
Faucett,10
?,10
Military - Brazilian Air Force,10
TACA,10
Air India,10
Japan Air Lines,9
Lloyd Aereo Boliviano,9
British Airways,9
Alaska Airlines,9
Air America,9
Western Airlines,9
SATENA,9
American Airways,9
Continental Airlines,9
Alitalia,9
Grands Express Aeriens,9
National Air Transport,9
Ariana Afghan Airlines,8
Military - Philippine Air Force,8
Military - US Air Force,8
Royal Nepal Airlines,8
National Airlines,8
CAAC,8
Iran Air,8
JAT Yugoslav Airlines,8
Military - French Air Force,8
REAL,8
Varney Air Lines,8
Lufthansa,8
Australian National Airways,8
Ala Littoria,7
Malev Hungarian Airlines,7
Avensa,7
Kalinga Airlines,7
Trans Canada Air Lines,7
Thai Airways,7
Aviaco,7
Capital Airlines,7
Military - Angolan Air Force,7
Misrair,7
Military - Sri Lanka Air Force,7
Military - Indonesian Air Force,7
EgyptAir,7
CIDNA,7
Aviateca,6
Pacific Air Transport,6
Allegheny Airlines,6
British South American Airways,6
Colonial Air Transport,6
TAM (Brazil),6
Far Eastern Air Transport,6
Military - Royal Canadian Air Force,6
Saudi Arabian Airlines,6
Air Algerie,6
South African Airways,6
TAME,6
Boeing Air Transport,6
Aigle Azur,6
Scandinavian Airlines (SAS),6
Military - Pakistan Air Force,6
Military - US Navy,6
Air Canada,6
